genome,completeness,contamination,strain_heterogeneity,length,N50
Aluwihare_DNA13_bin.220.fa,93.16,1.28,0.0,2207857,38275
Aluwihare_DNA13_bin.221.fa,78.65,0.26,100.0,1111950,11176
Aluwihare_DNA13_bin.222.fa,84.72,0.1,0.0,1066113,16520
Aluwihare_DNA13_bin.223.fa,0.0,0.0,0.0,297897,12198
Aluwihare_DNA13_bin.225.fa,2.97,0.0,0.0,439762,234542
Aluwihare_DNA13_bin.227.fa,2.58,0.5,0.0,326630,16654
Aluwihare_DNA13_bin.228.fa,1.72,0.0,0.0,433899,34145
Aluwihare_DNA13_bin.23.fa,32.65,0.0,0.0,525257,2283
Aluwihare_DNA13_bin.231.fa,0.0,0.0,0.0,321565,36370
Aluwihare_DNA13_bin.233.fa,35.2,1.71,20.0,1030820,2370
Aluwihare_DNA13_bin.234.fa,0.0,0.0,0.0,347098,16198
Aluwihare_DNA13_bin.235.fa,0.31,0.0,0.0,200928,38010
Aluwihare_DNA13_bin.236.fa,31.69,0.0,0.0,364129,5695
Aluwihare_DNA13_bin.237.fa,0.0,0.0,0.0,324707,21464
Aluwihare_DNA13_bin.238.fa,54.81,1.28,0.0,938870,2984
Aluwihare_DNA13_bin.239.fa,44.83,1.72,100.0,792847,2567
Aluwihare_DNA13_bin.24.fa,20.69,0.0,0.0,292945,2353
Aluwihare_DNA13_bin.240.fa,0.86,0.0,0.0,307939,3577
Aluwihare_DNA13_bin.242.fa,0.0,0.0,0.0,215297,47245
Aluwihare_DNA13_bin.243.fa,63.15,5.24,44.0,941287,15536
Aluwihare_DNA13_bin.244.fa,80.25,3.68,10.0,1164636,8713
Aluwihare_DNA13_bin.246.fa,0.0,0.0,0.0,342394,2696
Aluwihare_DNA13_bin.249.fa,3.29,0.5,0.0,475605,15813
Aluwihare_DNA13_bin.250.fa,30.34,0.0,0.0,548169,2144
Aluwihare_DNA13_bin.252.fa,3.91,0.0,0.0,367068,94467
Aluwihare_DNA13_bin.255.fa,23.85,2.78,16.67,736116,1547
Aluwihare_DNA13_bin.256.fa,57.33,1.72,100.0,933478,6360
Aluwihare_DNA13_bin.258.fa,0.0,0.0,0.0,483792,46415
Aluwihare_DNA13_bin.259.fa,0.0,0.0,0.0,258778,67650
Aluwihare_DNA13_bin.26.fa,86.9,2.94,0.0,3334117,7669
Aluwihare_DNA13_bin.260.fa,95.45,3.64,0.0,4459210,11063
Aluwihare_DNA13_bin.261.fa,54.22,2.56,100.0,1179492,2509
Aluwihare_DNA13_bin.262.fa,97.02,1.29,22.22,2743280,13044
Aluwihare_DNA13_bin.263.fa,4.2,0.51,0.0,402575,6469
Aluwihare_DNA13_bin.265.fa,77.74,1.28,0.0,1505385,23440
Aluwihare_DNA13_bin.267.fa,92.61,1.28,50.0,1847837,8134
Aluwihare_DNA13_bin.268.fa,73.47,1.18,0.0,3485195,3479
Aluwihare_DNA13_bin.271.fa,53.79,2.14,33.33,1273631,3860
Aluwihare_DNA13_bin.273.fa,0.52,0.0,0.0,342251,3635
Aluwihare_DNA13_bin.274.fa,69.87,4.54,33.33,3945784,3267
Aluwihare_DNA13_bin.275.fa,0.0,0.0,0.0,236621,5189
Aluwihare_DNA13_bin.276.fa,8.33,0.0,0.0,656175,10175
Aluwihare_DNA13_bin.277.fa,13.79,0.0,0.0,221465,16295
Aluwihare_DNA13_bin.278.fa,50.43,0.0,0.0,805918,3119
Aluwihare_DNA13_bin.279.fa,3.69,0.0,0.0,305481,4920
Aluwihare_DNA13_bin.280.fa,97.8,2.2,0.0,2566434,149718
Aluwihare_DNA13_bin.282.fa,70.27,0.86,100.0,1128603,11612
Aluwihare_DNA13_bin.283.fa,32.46,0.0,0.0,286151,80013
Aluwihare_DNA13_bin.284.fa,98.26,2.04,33.33,2281586,28861
Aluwihare_DNA13_bin.29.fa,4.17,0.0,0.0,488223,23309
Aluwihare_DNA13_bin.290.fa,5.85,0.43,0.0,345690,10873
Aluwihare_DNA13_bin.292.fa,73.23,1.75,0.0,1360989,12126
Aluwihare_DNA13_bin.294.fa,18.1,0.0,0.0,763002,2057
Aluwihare_DNA13_bin.295.fa,85.47,0.3,50.0,1559749,16776
Aluwihare_DNA13_bin.296.fa,0.0,0.0,0.0,273499,6927
Aluwihare_DNA13_bin.298.fa,67.64,2.73,80.0,1937362,15827
Aluwihare_DNA13_bin.299.fa,0.0,0.0,0.0,258532,5555
Aluwihare_DNA13_bin.3.fa,3.45,0.0,0.0,369924,4930
Aluwihare_DNA13_bin.30.fa,75.71,0.0,0.0,1044716,45373
Aluwihare_DNA13_bin.300.fa,65.13,0.0,0.0,1851953,3848
Aluwihare_DNA13_bin.302.fa,0.0,0.0,0.0,435759,4511
Aluwihare_DNA13_bin.304.fa,80.73,4.58,11.11,1325439,5223
Aluwihare_DNA13_bin.305.fa,33.97,2.31,60.0,407868,4757
Aluwihare_DNA13_bin.306.fa,0.0,0.0,0.0,260471,11174
Aluwihare_DNA13_bin.307.fa,71.76,0.0,0.0,495442,18406
Aluwihare_DNA13_bin.308.fa,3.69,0.07,100.0,224856,3204
Aluwihare_DNA13_bin.309.fa,12.54,0.0,0.0,348641,2988
Aluwihare_DNA13_bin.310.fa,0.0,0.0,0.0,380190,91075
Aluwihare_DNA13_bin.312.fa,42.12,0.92,0.0,330827,10943
Aluwihare_DNA13_bin.313.fa,39.66,0.0,0.0,758110,2787
Aluwihare_DNA13_bin.314.fa,38.4,1.72,100.0,809300,3102
Aluwihare_DNA13_bin.316.fa,0.0,0.0,0.0,232966,8910
Aluwihare_DNA13_bin.319.fa,20.09,0.0,0.0,685240,2337
Aluwihare_DNA13_bin.32.fa,82.8,0.26,0.0,1250189,22643
Aluwihare_DNA13_bin.321.fa,94.69,0.0,0.0,1602560,26830
Aluwihare_DNA13_bin.323.fa,29.53,1.72,0.0,1504510,1784
Aluwihare_DNA13_bin.325.fa,0.0,0.0,0.0,356113,20578
Aluwihare_DNA13_bin.326.fa,7.62,0.0,0.0,861016,3381
Aluwihare_DNA13_bin.327.fa,76.81,6.52,68.97,1295850,6005
Aluwihare_DNA13_bin.328.fa,0.0,0.0,0.0,267101,9347
Aluwihare_DNA13_bin.330.fa,50.32,2.97,25.0,480781,4241
Aluwihare_DNA13_bin.331.fa,0.0,0.0,0.0,298827,4331
Aluwihare_DNA13_bin.333.fa,21.53,0.0,0.0,657452,2135
Aluwihare_DNA13_bin.335.fa,5.17,0.0,0.0,320850,2031
Aluwihare_DNA13_bin.337.fa,26.12,3.23,0.0,1257576,1529
Aluwihare_DNA13_bin.338.fa,48.19,5.29,0.0,1645984,2270
Aluwihare_DNA13_bin.34.fa,81.6,4.02,20.0,3174674,4475
Aluwihare_DNA13_bin.340.fa,30.16,0.0,0.0,430859,2016
Aluwihare_DNA13_bin.342.fa,46.03,0.0,0.0,2691314,3551
Aluwihare_DNA13_bin.344.fa,77.56,2.03,0.0,1299582,4992
Aluwihare_DNA13_bin.345.fa,84.84,0.79,66.67,2492617,8110
Aluwihare_DNA13_bin.346.fa,10.34,0.0,0.0,325594,2077
Aluwihare_DNA13_bin.347.fa,4.91,0.43,0.0,358109,12627
Aluwihare_DNA13_bin.348.fa,0.0,0.0,0.0,218435,3712
Aluwihare_DNA13_bin.349.fa,61.13,1.72,0.0,1533063,3716
Aluwihare_DNA13_bin.35.fa,68.58,9.82,0.0,1537470,3363
Aluwihare_DNA13_bin.350.fa,17.66,0.0,0.0,233706,2013
Aluwihare_DNA13_bin.351.fa,48.65,2.14,0.0,1126494,2790
Aluwihare_DNA13_bin.352.fa,69.83,7.21,77.55,752181,25506
Aluwihare_DNA13_bin.353.fa,80.94,0.53,100.0,1170509,22152
Aluwihare_DNA13_bin.354.fa,74.36,0.31,50.0,1066269,18887
Aluwihare_DNA13_bin.359.fa,7.82,0.0,0.0,639626,18398
Aluwihare_DNA13_bin.36.fa,36.19,0.53,0.0,560503,2619
Aluwihare_DNA13_bin.361.fa,92.39,0.28,33.33,4290700,8660
Aluwihare_DNA13_bin.363.fa,0.0,0.0,0.0,258815,142539
Aluwihare_DNA13_bin.365.fa,74.54,0.1,0.0,1028765,9924
Aluwihare_DNA13_bin.366.fa,4.4,2.31,0.0,327703,7286
Aluwihare_DNA13_bin.367.fa,0.0,0.0,0.0,290953,11053
Aluwihare_DNA13_bin.368.fa,55.2,3.95,42.86,1907370,3172
Aluwihare_DNA13_bin.370.fa,82.55,2.03,53.85,3262980,7704
Aluwihare_DNA13_bin.371.fa,0.0,0.0,0.0,662191,4914
Aluwihare_DNA13_bin.373.fa,66.95,0.35,100.0,774601,17615
Aluwihare_DNA13_bin.375.fa,33.62,1.72,100.0,538523,4177
Aluwihare_DNA13_bin.377.fa,4.91,1.91,10.0,527774,13316
Aluwihare_DNA13_bin.378.fa,21.61,1.72,100.0,277294,5964
Aluwihare_DNA13_bin.38.fa,0.0,0.0,0.0,200372,7927
Aluwihare_DNA13_bin.380.fa,82.28,1.9,11.11,1509316,4980
Aluwihare_DNA13_bin.382.fa,4.17,0.0,0.0,627075,2691
Aluwihare_DNA13_bin.384.fa,37.89,5.59,55.56,2306404,2685
Aluwihare_DNA13_bin.385.fa,53.45,0.0,0.0,893115,5351
Aluwihare_DNA13_bin.386.fa,0.0,0.0,0.0,216401,2296
Aluwihare_DNA13_bin.387.fa,1.8,0.0,0.0,207972,4624
Aluwihare_DNA13_bin.389.fa,28.18,0.0,0.0,1126110,3377
Aluwihare_DNA13_bin.39.fa,21.16,0.0,0.0,692826,2689
Aluwihare_DNA13_bin.390.fa,39.14,3.45,0.0,788376,2999
Aluwihare_DNA13_bin.391.fa,7.02,0.0,0.0,264372,2377
Aluwihare_DNA13_bin.392.fa,23.9,0.47,0.0,1113617,2608
Aluwihare_DNA13_bin.393.fa,49.45,4.31,0.0,3220951,5334
Aluwihare_DNA13_bin.394.fa,4.17,0.0,0.0,203819,1998
Aluwihare_DNA13_bin.396.fa,41.04,0.43,0.0,874550,2600
Aluwihare_DNA13_bin.399.fa,42.42,0.74,33.33,1825060,2392
Aluwihare_DNA13_bin.40.fa,77.19,1.1,50.0,1122237,12523
Aluwihare_DNA13_bin.400.fa,34.48,9.48,50.0,760547,3196
Aluwihare_DNA13_bin.41.fa,80.08,1.28,0.0,1900672,9159
Aluwihare_DNA13_bin.42.fa,0.63,0.0,0.0,206339,7373
Aluwihare_DNA13_bin.43.fa,87.77,9.17,52.63,2402758,17164
Aluwihare_DNA13_bin.45.fa,84.11,0.85,0.0,1994004,23970
Aluwihare_DNA13_bin.47.fa,66.08,3.42,50.0,1159888,3027
Aluwihare_DNA13_bin.48.fa,89.05,1.13,33.33,1614163,34440
Aluwihare_DNA13_bin.5.fa,98.2,2.14,33.33,1538371,28124
Aluwihare_DNA13_bin.51.fa,22.13,1.41,0.0,935407,2344
Aluwihare_DNA13_bin.53.fa,0.47,0.0,0.0,233042,53762
Aluwihare_DNA13_bin.54.fa,0.47,0.0,0.0,205876,82703
Aluwihare_DNA13_bin.55.fa,94.25,0.0,0.0,2042730,48361
Aluwihare_DNA13_bin.56.fa,86.41,1.08,0.0,1592232,866883
Aluwihare_DNA13_bin.57.fa,40.52,0.0,0.0,496706,2271
Aluwihare_DNA13_bin.58.fa,0.0,0.0,0.0,303204,2960
Aluwihare_DNA13_bin.59.fa,83.73,2.14,0.0,2177568,4126
Aluwihare_DNA13_bin.6.fa,80.63,1.58,16.67,1103071,38764
Aluwihare_DNA13_bin.60.fa,0.0,0.0,0.0,399294,2160
Aluwihare_DNA13_bin.62.fa,48.86,5.0,0.0,753438,3366
Aluwihare_DNA13_bin.63.fa,51.91,6.19,0.0,1702449,1708
Aluwihare_DNA13_bin.64.fa,21.47,0.0,0.0,499873,2096
Aluwihare_DNA13_bin.66.fa,29.66,0.0,0.0,1434660,2508
Aluwihare_DNA13_bin.69.fa,23.33,0.0,0.0,1088124,2011
Aluwihare_DNA13_bin.7.fa,54.32,0.51,50.0,631268,8769
Aluwihare_DNA13_bin.70.fa,1.75,0.0,0.0,449706,4015
Aluwihare_DNA13_bin.72.fa,55.96,1.72,100.0,1520676,7773
Aluwihare_DNA13_bin.74.fa,5.38,0.72,0.0,375013,4813
Aluwihare_DNA13_bin.75.fa,31.9,0.0,0.0,536043,2766
Aluwihare_DNA13_bin.76.fa,46.98,1.72,0.0,1109080,13567
Aluwihare_DNA13_bin.78.fa,6.24,0.58,0.0,578448,5663
Aluwihare_DNA13_bin.79.fa,48.75,3.45,100.0,1329520,4655
Aluwihare_DNA13_bin.8.fa,65.52,0.0,0.0,1615692,12677
Aluwihare_DNA13_bin.80.fa,18.1,0.0,0.0,540482,1971
Aluwihare_DNA13_bin.81.fa,4.17,0.0,0.0,609329,6106
Aluwihare_DNA13_bin.82.fa,0.0,0.0,0.0,444239,17181
Aluwihare_DNA13_bin.83.fa,0.0,0.0,0.0,267688,22954
Aluwihare_DNA13_bin.85.fa,94.83,9.74,5.0,5744019,5440
Aluwihare_DNA13_bin.87.fa,15.01,0.0,0.0,1035885,2334
Aluwihare_DNA13_bin.88.fa,51.72,0.0,0.0,503491,26533
Aluwihare_DNA13_bin.91.fa,39.66,0.0,0.0,611776,2893
Aluwihare_DNA13_bin.93.fa,0.0,0.0,0.0,434136,23133
Aluwihare_DNA13_bin.94.fa,13.79,0.0,0.0,232014,2229
Aluwihare_DNA13_bin.95.fa,84.72,1.16,100.0,1083204,20224
Aluwihare_DNA13_bin.96.fa,77.59,0.86,0.0,3629835,44865
Aluwihare_DNA13_bin.97.fa,42.14,1.23,33.33,1327020,4123
Aluwihare_DNA13_bin.98.fa,2.91,0.36,0.0,383802,3300
Aluwihare_DNA14_bin.1.fa,33.62,0.0,0.0,417005,2578
Aluwihare_DNA14_bin.10.fa,0.0,0.0,0.0,229181,18313
Aluwihare_DNA14_bin.100.fa,27.67,5.26,0.0,355426,3326
Aluwihare_DNA14_bin.101.fa,17.24,0.0,0.0,270683,33185
Aluwihare_DNA14_bin.102.fa,71.29,0.61,0.0,582022,11315
Aluwihare_DNA14_bin.103.fa,0.0,0.0,0.0,294660,12650
Aluwihare_DNA14_bin.105.fa,44.88,0.0,0.0,466094,18095
Aluwihare_DNA14_bin.107.fa,73.73,1.58,0.0,1227841,12666
Aluwihare_DNA14_bin.108.fa,83.98,0.59,0.0,1271677,8726
Aluwihare_DNA14_bin.11.fa,5.38,0.5,0.0,366914,16809
Aluwihare_DNA14_bin.111.fa,0.0,0.0,0.0,248079,1903
Aluwihare_DNA14_bin.113.fa,0.0,0.0,0.0,298225,10352
Aluwihare_DNA14_bin.114.fa,93.5,0.99,50.0,2028579,13923
Aluwihare_DNA14_bin.115.fa,43.24,3.95,0.0,1979101,2496
Aluwihare_DNA14_bin.116.fa,75.03,8.12,42.11,1732172,4928
Aluwihare_DNA14_bin.117.fa,70.97,6.61,10.0,2286387,3178
Aluwihare_DNA14_bin.118.fa,8.33,0.0,0.0,209982,10710
Aluwihare_DNA14_bin.119.fa,0.0,0.0,0.0,338945,8097
Aluwihare_DNA14_bin.12.fa,89.63,2.98,27.78,2044072,12559
Aluwihare_DNA14_bin.120.fa,2.77,0.0,0.0,499139,290995
Aluwihare_DNA14_bin.121.fa,24.14,0.0,0.0,782724,3654
Aluwihare_DNA14_bin.122.fa,86.27,1.68,0.0,5183951,11096
Aluwihare_DNA14_bin.124.fa,94.67,1.35,25.0,2535419,13236
Aluwihare_DNA14_bin.126.fa,1.72,0.0,0.0,831085,3654
Aluwihare_DNA14_bin.129.fa,91.17,2.14,33.33,1898798,29888
Aluwihare_DNA14_bin.13.fa,94.64,2.69,13.33,2764658,9957
Aluwihare_DNA14_bin.130.fa,50.32,0.53,0.0,1418118,2870
Aluwihare_DNA14_bin.132.fa,73.15,3.86,41.67,3164145,3092
Aluwihare_DNA14_bin.134.fa,76.43,0.43,0.0,1424158,9050
Aluwihare_DNA14_bin.136.fa,64.64,2.23,0.0,2004938,4015
Aluwihare_DNA14_bin.137.fa,50.47,0.86,0.0,2217007,4788
Aluwihare_DNA14_bin.139.fa,0.0,0.0,0.0,301543,41577
Aluwihare_DNA14_bin.140.fa,18.1,0.0,0.0,550262,2916
Aluwihare_DNA14_bin.141.fa,3.15,0.14,0.0,360185,6419
Aluwihare_DNA14_bin.142.fa,59.74,2.3,66.67,2935287,4178
Aluwihare_DNA14_bin.143.fa,89.14,0.15,100.0,1620343,27091
Aluwihare_DNA14_bin.145.fa,4.17,0.0,0.0,223532,6545
Aluwihare_DNA14_bin.147.fa,0.0,0.0,0.0,242298,6131
Aluwihare_DNA14_bin.148.fa,0.0,0.0,0.0,523385,11531
Aluwihare_DNA14_bin.15.fa,89.36,1.28,0.0,2714477,23336
Aluwihare_DNA14_bin.151.fa,89.23,2.72,50.0,2762148,18760
Aluwihare_DNA14_bin.153.fa,37.89,0.27,0.0,900244,2413
Aluwihare_DNA14_bin.154.fa,40.11,6.14,100.0,1874100,3582
Aluwihare_DNA14_bin.155.fa,85.13,3.25,25.0,1626769,18689
Aluwihare_DNA14_bin.156.fa,42.96,2.37,20.0,793828,2477
Aluwihare_DNA14_bin.157.fa,4.3,0.14,100.0,356208,10056
Aluwihare_DNA14_bin.158.fa,56.9,3.45,100.0,1073673,5042
Aluwihare_DNA14_bin.159.fa,73.35,6.2,70.0,2053132,3906
Aluwihare_DNA14_bin.160.fa,94.04,1.81,33.33,1603838,52974
Aluwihare_DNA14_bin.161.fa,46.55,0.0,0.0,871141,5015
Aluwihare_DNA14_bin.162.fa,0.0,0.0,0.0,279325,15684
Aluwihare_DNA14_bin.164.fa,89.91,4.78,18.18,2324468,22599
Aluwihare_DNA14_bin.166.fa,0.0,0.0,0.0,220328,5995
Aluwihare_DNA14_bin.169.fa,97.3,3.85,12.5,4118120,12618
Aluwihare_DNA14_bin.17.fa,94.74,2.56,0.0,1900860,47558
Aluwihare_DNA14_bin.170.fa,1.01,0.0,0.0,290539,5098
Aluwihare_DNA14_bin.172.fa,78.55,7.03,20.0,2625699,4578
Aluwihare_DNA14_bin.176.fa,9.09,0.0,0.0,1349652,2634
Aluwihare_DNA14_bin.177.fa,4.17,0.0,0.0,401972,2176
Aluwihare_DNA14_bin.178.fa,18.21,0.0,0.0,245913,5591
Aluwihare_DNA14_bin.179.fa,52.93,0.0,0.0,813010,24193
Aluwihare_DNA14_bin.18.fa,91.45,2.14,0.0,1744645,59951
Aluwihare_DNA14_bin.180.fa,40.05,1.72,0.0,1619469,3276
Aluwihare_DNA14_bin.181.fa,31.03,0.0,0.0,482160,3022
Aluwihare_DNA14_bin.182.fa,0.47,0.0,0.0,204336,57725
Aluwihare_DNA14_bin.183.fa,0.0,0.0,0.0,434198,35006
Aluwihare_DNA14_bin.187.fa,4.91,0.5,0.0,394987,17753
Aluwihare_DNA14_bin.188.fa,78.94,0.79,50.0,1387228,21520
Aluwihare_DNA14_bin.191.fa,75.76,3.36,31.25,2780287,12488
Aluwihare_DNA14_bin.193.fa,5.02,0.0,0.0,287029,2929
Aluwihare_DNA14_bin.194.fa,1.72,0.0,0.0,437967,23465
Aluwihare_DNA14_bin.195.fa,3.98,0.0,0.0,445972,226891
Aluwihare_DNA14_bin.196.fa,45.3,0.07,100.0,2070117,3870
Aluwihare_DNA14_bin.197.fa,54.46,0.0,0.0,420630,14255
Aluwihare_DNA14_bin.198.fa,11.19,0.0,0.0,308650,1920
Aluwihare_DNA14_bin.199.fa,97.8,2.2,0.0,2559799,171055
Aluwihare_DNA14_bin.20.fa,0.0,0.0,0.0,662489,72135
Aluwihare_DNA14_bin.200.fa,0.47,0.0,0.0,217239,44070
Aluwihare_DNA14_bin.201.fa,0.0,0.0,0.0,395150,15158
Aluwihare_DNA14_bin.202.fa,95.0,1.57,33.33,1900452,23016
Aluwihare_DNA14_bin.203.fa,97.44,4.89,11.11,2605588,5972
Aluwihare_DNA14_bin.204.fa,68.66,0.0,0.0,1025369,6199
Aluwihare_DNA14_bin.206.fa,95.44,1.64,27.27,1913744,14512
Aluwihare_DNA14_bin.209.fa,81.59,2.67,5.56,1177806,18034
Aluwihare_DNA14_bin.210.fa,80.27,0.31,50.0,2904178,15939
Aluwihare_DNA14_bin.212.fa,0.0,0.0,0.0,293382,8716
Aluwihare_DNA14_bin.214.fa,0.0,0.0,0.0,440450,4662
Aluwihare_DNA14_bin.215.fa,3.91,0.0,0.0,373474,68420
Aluwihare_DNA14_bin.216.fa,97.41,0.0,0.0,1750791,88426
Aluwihare_DNA14_bin.217.fa,93.45,2.52,50.0,1600991,20264
Aluwihare_DNA14_bin.218.fa,0.0,0.0,0.0,436637,24353
Aluwihare_DNA14_bin.219.fa,0.0,0.0,0.0,286918,77362
Aluwihare_DNA14_bin.22.fa,85.89,1.08,0.0,1588031,133972
Aluwihare_DNA14_bin.221.fa,91.03,2.59,0.0,2549936,9277
Aluwihare_DNA14_bin.222.fa,82.13,0.11,0.0,1730460,14927
Aluwihare_DNA14_bin.223.fa,60.56,1.98,50.0,619329,32377
Aluwihare_DNA14_bin.225.fa,79.23,0.71,0.0,2036713,3867
Aluwihare_DNA14_bin.227.fa,87.19,0.6,0.0,2546234,13874
Aluwihare_DNA14_bin.228.fa,21.55,3.45,0.0,339910,2362
Aluwihare_DNA14_bin.231.fa,67.24,1.72,0.0,1306801,13774
